slug,nom_reel,code_postal,code_insee,pop2012,surface,long_deg,lat_deg
cheignieu-la-balme,Cheignieu-la-Balme,01510,1100,200,6.26,5.61667,45.8333
saint-vulbas,Saint-Vulbas,01150,1390,900,21.44,5.28333,45.8333
echallon,Échallon,01130,1152,800,28.09,5.74139,46.21
montellier,Le Montellier,01800,1260,200,15.38,5.06667,45.9333
martignat,Martignat,01810,1237,1600,13.25,5.6,46.2167
ceyzeriat,Ceyzériat,01250,1072,2600,9.36,5.31667,46.1667
montcet,Montcet,01310,1259,700,6.68,5.11667,46.2
vonnas,Vonnas,01540,1457,2700,17.81,5.0,46.2167
buellas,Buellas,01310,1065,1600,10.21,5.13333,46.2
saint-benigne,Saint-Bénigne,01190,1337,1100,16.49,4.96667,46.4333
chevillard,Chevillard,01430,1101,200,6.67,5.58333,46.1167
bouligneux,Bouligneux,01330,1052,300,26.09,5.0,46.0167
contrevoz,Contrevoz,01300,1116,500,14.18,5.63333,45.8
champdor,Champdor,01110,1080,500,17.37,5.6,46.0167
port-01,Port,01460,1307,900,4.25,5.56667,46.1667
surjoux,Surjoux,01420,1413,100,4.31,5.8,46.0167
champfromier,Champfromier,01410,1081,700,32.4,5.81667,46.2
vesines,Vésines,01570,1439,100,3.88,4.86667,46.35
seillonnaz,Seillonnaz,01470,1400,100,9.59,5.48333,45.8
varambon,Varambon,01160,1430,500,7.99,5.31667,46.0333
grand-abergement,Le Grand-Abergement,01260,1176,100,31.92,5.66667,46.0333
jassans-riottier,Jassans-Riottier,01480,1194,5900,4.81,4.75,45.9833
asnieres-sur-saone,Asnières-sur-Saône,01570,1023,100,4.68,4.88333,46.3833
condamine-01,Condamine,01430,1112,400,4.64,5.56667,46.1167
lhuis,Lhuis,01680,1216,800,24.43,5.53333,45.75
romans-01,Romans,01400,1328,600,22.32,5.03333,46.1167
pizay,Pizay,01120,1297,800,11.18,5.08333,45.8833
certines,Certines,01240,1069,1500,15.92,5.26667,46.1333
ruffieu,Ruffieu,01260,1330,200,14.03,5.66667,46.0
meximieux,Meximieux,01800,1244,7300,13.75,5.2,45.9
saint-rambert-en-bugey,Saint-Rambert-en-Bugey,01230,1384,2200,28.55,5.43333,45.95
ambronay,Ambronay,01500,1007,2300,33.55,5.35,46.0
cize-01,Cize,01250,1106,200,4.52,5.43333,46.2
saint-germain-sur-renon,Saint-Germain-sur-Renon,01240,1359,200,15.8,5.05,46.0833
villette-sur-ain,Villette-sur-Ain,01320,1449,700,19.38,5.26862,45.9884
dagneux,Dagneux,01120,1142,3900,6.65,5.06667,45.85
boissey-01,Boissey,01190,1050,200,9.05,5.0,46.3833
salavre,Salavre,01270,1391,300,7.77,5.35,46.3667
brion-01,Brion,01460,1063,500,4.48,5.55251,46.1728
labalme,Labalme,01450,1200,200,8.8,5.48333,46.1
sauverny,Sauverny,01220,1397,1100,1.89,6.11667,46.3167
montceaux,Montceaux,01090,1258,1100,10.03,4.8,46.1
brenod,Brénod,01110,1060,500,23.79,5.6,46.0667
miserieux,Misérieux,01600,1250,1700,7.41,4.81667,45.9833
prevessin-moens,Prévessin-Moëns,01280,1313,5300,12.07,6.08333,46.25
lent-01,Lent,01240,1211,1300,31.48,5.2,46.1167
marsonnas,Marsonnas,01340,1236,900,18.38,5.06667,46.3333
manziat,Manziat,01570,1231,1900,12.63,4.9,46.35
trevoux-01,Trévoux,01600,1427,6800,5.71,4.76667,45.9333
bellegarde-sur-valserine,Bellegarde-sur-Valserine,01200,1033,11400,15.25,5.81667,46.1
bourg-en-bresse,Bourg-en-Bresse,01000,1053,40200,23.86,5.21667,46.2
confort,Confort,01200,1114,500,11.66,5.81667,46.15
saint-denis-les-bourg,Saint-Denis-lès-Bourg,01000,1344,5200,12.58,5.2,46.2
